area,name,lat,long,status,note,location
北沢,35-1,35.6642714,139.6710477,0,○,北沢３－９（遊歩道）
北沢,35-2,35.6653879,139.6727229,0,○,小田急線東北沢駅機械棟北側
北沢,35-3,35.6641,139.669757,0,○,旧下北沢臨時置場東側
北沢,35-4,35.664478,139.669892,0,○,区管理地北側
北沢,35-5,35.6642179,139.668725,0,○,どんぐりひろば公園（公園内）
北沢,35-6,35.666954,139.672443,0,○,北沢公園北側
北沢,35-7,35.6603709,139.6761946,0,○,北沢一丁目児童遊園西側
北沢,35-8,35.663112,139.669899,0,○,区管理道路
松原,36-1,35.6584062,139.6509799,0,○,東京電力(株)松原変電所南側
松原,36-2,35.656033,139.649253,0,○,北沢川緑道
松原,36-3,35.6589569,139.652121,0,○,梅丘中学校西側
松原,36-4,35.65816251,139.6511717,0,△,都立光明学園東側
松原,36-5,35.658426,139.653061,0,○,梅丘中学校南側
松原,36-6,35.6592018,139.6530753,0,○,梅丘中学校東側
豪徳寺,36-7,35.65464,139.647332,0,○,北沢川緑道
豪徳寺,36-8,35.6560393,139.6464415,0,○,善性寺北側
豪徳寺,36-9,35.656291,139.6459,0,○,善性寺西側
松原,37-1,35.6635,139.6517032,0,○,駐車場南側
松原,37-2,35.663936,139.651408,0,○,松原小学校南側
松原,37-3,35.663065,139.64883,0,○,松原公園北側
松原,37-4,35.6619493,139.6508043,0,○,個人宅北側
松原,37-5,35.662818,139.65302,0,○,赤羽根公園東側
松原,37-6,35.662681,139.652746,0,○,東洋製罐(株)コーポ松原駐輪場北側
松原,37-7,35.664307,139.650445,0,○,松原小学校西側
松原,38-1,35.6683932,139.6513093,0,○,京王電鉄(株)旧京王井の頭線お忘れ物取扱所北側
松原,38-2,35.66952,139.654983,0,○,京王電鉄(株)旧資材置場南側
松原,38-3,35.6690294,139.6534312,0,○,京王電鉄(株)工事現場北側
松原,38-4,35.668521,139.652558,0,○,扶桑会館西側
松原,38-5,35.6684344,139.651594,0,○,京王電鉄(株)工事現場南側
松原,38-6,35.666391,139.653641,0,○,松原北保
松原,38-7,35.668821,139.651956,0,○,京王線線路沿い（明大前駅東）
松原,38-8,35.6667,139.654206,0,○,松原北保育園南側
松原,39-1,35.6653623,139.6489133,0,○,日本学園北側
松原,39-2,35.6649684,139.6467843,0,○,個人宅西側
松原,39-3,35.666629,139.648403,0,○,二階堂高等学校北側
松原,39-4,35.66597717,139.6479693,0,△,日本女子体育大学附属みどり幼稚園西側
松原,39-5,35.664576,139.648166,0,○,日本学園西側
松原,39-6,35.665054,139.6496212,0,△,日本学園東側
松原,39-7,35.664068,139.647067,0,○,駐車場西側
松原,40-1,35.667281,139.641461,0,○,NTT松沢営業所別館西側
赤堤,40-2,35.665012,139.637631,0,○,消防庁赤堤寮西側
松原,40-3,35.666332,139.644966,0,○,弁天児童遊園東側
松原,40-4,35.666789,139.643002,0,○,下高井戸公共駐車場ひまわり広場東側
赤堤,40-5,35.6647831,139.6389093,0,○,松沢小学校西側
松原,40-6,35.666115,139.643041,0,○,京王線線路沿い（下高井戸駅東側）
赤堤,40-7,35.665148,139.640028,0,○,松沢小学校南側
赤堤,40-8,35.664121,139.636619,0,○,赤堤けやき公園西側
赤堤,41-1,35.663911,139.63947,0,○,松沢小学校第二運動場南側
松原,41-2,35.663138,139.646074,0,○,個人宅南側
松原,41-3,35.663258,139.644779,0,○,個人宅南側
赤堤,41-4,35.660383,139.641434,0,○,赤堤保育園北側
松原,41-5,35.6641681,139.6450619,0,○,個人宅西側
赤堤,41-6,35.6615902,139.6414628,0,○,赤松公園北側
松原,41-7,35.665299,139.646296,0,○,菅原神社北側
赤堤,41-8,35.661134,139.641844,0,○,赤松公園南側
赤堤,42-1,35.658756,139.6439,0,○,三界寺本堂北側
赤堤,42-2,35.659031,139.64625,0,○,日本政策投資銀行赤堤第一舎宅東側
赤堤,42-3,35.65911902,139.6482241,0,△,赤松ぼっくり庭園緑地南側
赤堤,42-4,35.6581309,139.643696,0,○,あかつつみ幼稚園南側
赤堤,42-5,35.658172,139.646746,0,○,個人宅南側
赤堤,42-6,35.659443,139.648474,0,○,赤松ぼっくり庭園緑地東側
赤堤,43-1,35.65638536,139.637559,0,△,赤堤小学校北側
赤堤,43-2,35.653821,139.643089,0,○,北沢川緑道ユリの木公園
赤堤,43-3,35.654922,139.637799,0,○,赤堤生涯学習センター（赤堤小学校内）南側
赤堤,43-4,35.65884594,139.6368267,0,△,西福寺南側
赤堤,43-5,35.659178,139.63953,0,○,カトリック赤堤教会東側
赤堤,43-6,35.656171,139.636531,0,○,赤堤小学校西側
赤堤,43-7,35.659093,139.636445,0,○,西福寺西側
赤堤,43-8,35.655429,139.637826,0,○,赤堤小学校東側
桜上水,44-1,35.661083,139.630786,0,○,緑丘中学校西側
桜上水,44-2,35.658325,139.626103,0,○,㈱ギコウ
桜上水,44-3,35.664,139.631264,0,○,日本大学文理学部陸上競技場北側
桜上水,44-4,35.661988,139.631516,0,○,緑丘中学校北側
桜上水,44-5,35.655824,139.630201,0,○,経堂小学校南側
桜上水,44-6,35.6567521,139.6291786,0,○,個人宅北側
桜上水,44-7,35.660509,139.631644,0,○,緑丘中学校南側
桜上水,44-8,35.655655,139.631586,0,○,経堂小学校東側
桜上水,45-1,35.664337,139.62992,0,○,桜上水しいの木公園東側
桜上水,45-2,35.667925,139.627908,0,○,京王電鉄(株)上北沢変電所北側
桜上水,45-3,35.667341,139.629404,0,○,個人宅西側
桜上水,45-4,35.665626,139.63464,0,○,松沢中学校南側
桜上水,45-5,35.662953,139.633076,0,○,日本大学弓道部南側
桜上水,45-6,35.66417,139.635572,0,○,都立松原高等学校南側
桜上水,45-7,35.6654195,139.6352755,0,○,都立松原高等学校東側
桜上水,45-8,35.6660385,139.6351144,0,○,松沢中学校東側
上北沢,46-1,35.668489,139.628618,0,○,駐車場北側
上北沢,46-2,35.667892,139.626965,0,○,個人宅北側
上北沢,46-3,35.668109,139.621944,0,○,日本政策投資銀行上北沢住宅西側
上北沢,46-4,35.668489,139.625833,0,○,京王線線路沿い（上北沢駅東側）
上北沢,46-5,35.667608,139.62549,0,○,上北沢区民センター東側
上北沢,46-6,35.668564,139.624557,0,○,京王線連続立体交差事業用地東側
上北沢,46-7,35.668867,139.624074,0,○,京王線線路沿い（上北沢駅脇）
上北沢,47-1,35.671176,139.620115,0,○,京王バス(株)永福町営業所世田谷車庫南側
上北沢,47-2,35.67095517,139.6165768,0,○,区立八幡山北自転車等駐車場西側
上北沢,47-3,35.673963,139.617787,0,○,上北沢やのかみ広場北側
上北沢,47-4,35.67251,139.617763,0,○,上北沢五丁目公園南側
上北沢,47-5,35.669516,139.621817,0,○,上北沢小学校南側
上北沢,47-6,35.670841,139.621149,0,○,個人宅北側
上北沢,47-7,35.670133,139.620352,0,○,上北沢小学校北側
上北沢,47-8,35.669355,139.620363,0,○,上北沢保育園南側
八幡山,48-1,35.668366,139.61456,0,○,都営八幡山アパート南側
